"id","estado"
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,0
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,1
528,0
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,1
570,1
571,0
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,1
